site_name,address,copa_id
FCCH-Rosa Lopez,4924 S Keeler,758
FCCH-Sara Leon de Diaz,6235 S Parkside Ave,1149
FCCH-Sherisse Holmes,4119 W 16th St.,1117
FCCH-Shirley Oliver,6020 S Paulina,1043
FCCH-Susie Cannon,5921 W Rice,920
FCCH-Tita Jackson,604 E 88th St,1045
FCCH-Tosha Kelly-Rushton,8050 S Honore,1037
Firman House South,5401 S. Wentworth Ave.,523
Firman West II SA 4644 S. Dearborn,4644 S. Dearborn,530
First Start Children's Academy South,"5700 S Ashland Ave, 1st Fl",1100
Foresight Children's Learning Center Inc.,101 E 69th St.,1383
Frazier Preparatory Academy,3711 W. Douglass Blvd,1590
Fresh Start Day Care Center,6924 W. North Avenue,1022
Fuller,4214 S. St. Lawrence,188
Gale,1631 W. Jonquil Terrace,289
Gallistel,,1631
Garvey,,1632
GH Archer (4234),4234 S Archer Ave,1134
Gifted Children Academy,1522 W. Howard St. #24,1385
Graham ES,4436 S. Union,297
Gray,3730 N LARAMIE AVE,1451
Great Expectations,1146 S California Ave,1379
Grimes,5450 W 64TH PL,1455
Hafferan,,1634
Hammond,,1633
Healthy Families Chicago,2100 S. Marshall Blvd,1592
Healy,3010 S PARNELL AVE,1461
Hefferan,,1651
Henderson,,1635
Hibbard,,1636
Hughes C,,1637
Hurley,3849 W. 69th Place,315
J & L Family Learning Day Care,11640 South Wentworth Ave,1298
Jelly Bean 71st,358-370 E 71st St,1033
Jenkins Institute of Love,8907 S Cottage Grove Ave,1378
Jensen,,1638
Joplin,,1639
Jordan,7414 North Wolcott,323
Judah International Outreach Ministries,856 N Pulaski Rd,1281
Kanoon,,1640
Kiddieland Education Center,3809 N. Cicero Ave,1387
Kiddy Kare Site 1,4444 S Kedzie,1135
Kidz Colony,6287 South Archer Ave,442
Kimball Day Care,1636 N Kimball Ave,977
Lake Shore School,6759 N Greenview Ave,1258
Lara,,1641
Lawndale,3500 W. Douglas Blvd,377
Learn Charter Herro,3021 W. Carroll,1599
Lee's Cuddles N Care,6100 W. North Avenue  #6106,430
Leland,,1652
Logandale,3212 W GEORGE ST,1480
Lovett,,1642
Lowell,3320 W. Hirsch,383
Manierre,,1643
Mari's Bumble Bee Academy,9725 S Commercial Ave,992
Maryville Crisis Nursery,4015 N. Oak Park Ave,1601
Mason,4217 W. 19th St,386
Mays,,1644
McCutcheon,4846 N. Sheridan,324
Morton,431 N.Troy,333
New Beginnings,5445 W. North Avenue,424
Nixon,2121 N Keeler Ave.,956
One Hope United-Bridgeport II,514 W. 31 St,1607
Onward Neighborhood House - Belmont Cragin,5423 W Diversey Ave,843
Options for Youth-Community Group,5234 S. Blackstone St.,1610
Ounce of Prevention-Advocate IL Masonic Medical Ctr,3040 N. Wilton Ave,1611
Ounce of Prevention-Catholic Charities,11255 S. Michigan Ave,1612
Ounce of Prevention-Christopher House,2507 N. Greenview,1613
Ounce of Prevention-Family Focus Englewood,6727 S. Western Ave,1615
Ounce of Prevention-Pilsen Wellness Center,2319 S. Damen Ave,1616
Owens,12302 S STATE ST,1505
Park Manor,,1653
Parker,6800 S STEWART AVE,1507
Perez,1241 W. 19th Street,344
Pershing,3113 S. Rhodes,510
Piccolo,1040 N. Keeler Avenue,345
Precious Little Ones - 63rd,22-26 E 63rd St,1296
Project Org + Design Studio,1401 E 79th St,1352
Red South,1615 W. Chicago,1
Saucedo,2850 W. 24 th Blvd,351
SGA Youth and Family Services,3054 W. Cermak Rd.,1184
Simpson Academy,1321 S Paulina St,1136
Small World Daycare Center,"834 W 31st St, 1st Flr",1289
Smart Learning Center,2988 S Archer Ave,1226
South East Asia Center - Ainslie,1134 W. Ainslie,31
South East Asia Center - Broadway,5120 N. Broadway Ave,566
