site_name,portal_id,copa_id
Easter Seals - New Generation Creative Learning Center,1017,1326
Salvation Army - New Hope Head Start,363,206
Ada S. McKinley - New Knowledge Learning Center,1004,1353
New Pisgah Day Care,364,1183
William K New Sullivan Elementary School,864,1539
Chicago Commons Association - NIA Family Center,243,120
Nicholson Technology Academy,788,336
Florence Nightingale Elementary School,789,1234
Ninos Heroes Elementary School,709,1540
William P Nixon Elementary School,790,956
Alfred Nobel Elementary School,791,1541
Metropolitan Family Services - North Children's Center,359,796
North River Elementary School,792,1542
North Star Child Development,485,1132
Northwestern University Settlement House,367,40
Norwood Park Elementary School,793,1543
Richard J Oglesby Elementary School,796,1151
Isabelle C O'Keeffe Elementary School,797,337
William J Onahan Elementary School,798,1544
One Hope United - Bridgeport Child Development Center,228,1650
One Hope United-Bridgeport II,229,1651
One Hope United - Edgewater Early Learning Center,279,1652
Onward Neighborhood House - Belmont Cragin,370,843
Oriole Park Elementary School,799,1545
Orozco Fine Arts & Sciences Elementary School,800,1546
Josefa Ortiz De Dominguez Elementary School,630,1357
James Otis Elementary School,801,1547
Montessori School of Englewood,947,338
Ounce of Prevention - Educare,906,1658
Catholic Charities - Our Lady of Tepeyac Child Development Center,378,146
Out on Faith Learning Center,XXXXXX,1390
Owens,678,1548
John Palmer Elementary School,803,1549
Park Manor Elementary School,804,1409
Francis W Parker Elementary Community Academy,805,1550
Parkside Elementary Community Academy,806,341
Asian Human Services - Passages Charter School,383,1662
Louis Pasteur Elementary School,807,1551
Pathways To Learning Child Care Centers - Kedzie,941,1056
Pathways To Learning Child Care Centers - Ashburn,384,568
Chicago Commons Association - Paulo Freire Family Center,244,121
Mae's Early Child Development & Therapeutic Daycare,978,1399
Ferdinand Peck Elementary School,808,849
Helen Peirce International Studies ES,809,1552
William Penn Elementary School,810,343
Manuel Perez Elementary School,811,344
Mary Gage Peterson Elementary School,813,1553
Piccolo,814,345
Josiah Pickard Elementary School,815,346
Pilsen Elementary Community Academy,816,347
John T Pirie Fine Arts & Academic Center ES,817,1554
Portage Park Elementary School,819,1555
El Valor - Power Daycare,960,1162
Precious Little Ones - 47th,1005,1297
Ada S. McKinley - Precious Little Ones (51 St),928,1295
Precious Little Ones - 63rd,931,1296
William H Prescott Elementary School,820,1556
Dr Jorge Prieto Math and Science Academy Elementary School,821,1557
A N Pritzker School,822,1558
Henry Booth House - Prodigy Child Learning Center,523,1035
Prodigy Child Learning Center ANNEX,XXXXXX,1429
Project Org + Design Studio,524,1352
Ernst Prussing Elementary School,823,1559
Casimir Pulaski Elementary Fine Arts Academy,824,1560
George M Pullman Elementary School,825,1176
Rachel's Learning Center - Austin,487,547
Rachel's Learning Center - Austin,XXXXXX,1370
Rachel's Learning Center - North Lawndale,489,546
Rainbow Daycare,387,970
Asa Philip Randolph Elementary School,826,1156
Ravenswood Elementary School,827,1561
William H Ray Elementary School,828,1562
William C Reavis Math & Science Specialty Elementary School,829,521
Chicago Youth Centers - Rebecca K. Crown,269,183
Salvation Army - Red Shield,974,567
Frank W Reilly Elementary School,830,1563
Peter A Reinberg Elementary School,831,1564
Trinity United Church of Christ - Dr Jeremiah A Wright Jr Early Care & Learning Center,975,446
Paul Revere Elementary School,832,349
El Valor - Rey B Gonzalez Children & Family Center,479,71
Jackie Robinson Elementary School,833,508
Philip Rogers Elementary School,834,1565
Lutheran Social Services - Rogers Park,391,395
Martha Ruggles Elementary School,836,645
Irma C Ruiz Elementary School,837,1567
William H Ryder Math & Science Specialty ES,838,350
Rueben Salazar Elementary Bilingual Center,839,1568
Socorro Sandoval Elementary School,840,958
Saucedo,841,351
Harriet E Sayre Elementary Language Academy,842,1569
Jonathan Y Scammon Elementary School,843,1570
Theophilus Schmid Elementary School,844,1571
Franz Peter Schubert Elementary School,845,1572
William H Seward Communication Arts Academy ES,846,959
William T Sherman Elementary School,847,1177
Jesse Sherwood Elementary School,848,960
James Shields Elementary School,849,961
Shining Star,539,1185
Shining Star,538,1186
Shining Star,540,1187
Shining Star,541,1188
John D Shoop Math Science Technical Academy ES,850,1573
Small World Daycare Center,961,1289
Chicago Commons - Smart From The Start,933,1148
Smart Learning Center,1013,1226
Wendell Smith Elementary School,852,1574
Washington D Smyser Elementary School,853,1575
John M Smyth Elementary School,854,1359
Hannah G Solomon Elementary School,855,1576
South East Asia Center - Ainslie,XXXXXX,31
South East Asia Center - Broadway,988,566
South-East Asia Center - International Bridge School,989,584
South East Asia Center - Infant-Toddler,XXXXXX,1401
South Shore Fine Arts Academy,857,1577
South Shore United Methodist,542,32
Southeast Elementary School,1020,1578
Spencer Technology Academy,858,355
John Spry Elementary Community School,859,1427
Catholic Charities - St. Joseph Child Development Center,408,150
St. Vincent de Paul Center,420,1670
Amos Alonzo Stagg Elementary School,860,646
Henry Booth House - Star Kids Math & Science,981,1229
Stepping Stones Early Childhood Center,422,877
Adlai E Stevenson Elementary School,861,1579
Frederick Stock Elementary School,862,1580
Harriet Beecher Stowe Elementary School,863,358
Sumner,865,509
Easter Seals - Sweet Pea Academy,1018,1355
George B Swift Elementary Specialty School,866,1581
Mancel Talcott Elementary School,867,1582
Talman Elementary School,868,1583
Henry O Tanner Elementary School,869,359
Tarkington School of Excellence Elementary School,870,1584
Douglas Taylor Elementary School,871,1585
Chicago Commons Association - Taylor Center for New Experiences,245,117
Teddy Bear I,501,616
Teddy Bear II,424,617
Teddy Bear III,423,618
Teddy Bear V,425,619
SGA Youth and Family Services - Little Village (Telpochalli Community Arts Fine Arts School),536,1586
