site_name,portal_id,copa_id
Philip Rogers Elementary School,834,1522
Lutheran Social Services - Rogers Park,391,395
Wilma Rudolph Elementary Learning Center,835,1523
Martha Ruggles Elementary School,836,645
Irma C Ruiz Elementary School,837,1524
William H Ryder Math & Science Specialty ES,838,350
Rueben Salazar Elementary Bilingual Center,839,1525
Socorro Sandoval Elementary School,840,958
Harriet E Sayre Elementary Language Academy,842,1526
Jonathan Y Scammon Elementary School,843,1527
Theophilus Schmid Elementary School,844,1528
Franz Peter Schubert Elementary School,845,1529
William H Seward Communication Arts Academy ES,846,959
William T Sherman Elementary School,847,1177
Jesse Sherwood Elementary School,848,960
James Shields Elementary School,849,961
Shining Star,539,1185
Shining Star,538,1186
Shining Star,540,1187
Shining Star,541,1188
John D Shoop Math Science Technical Academy ES,850,1530
Gad's Hill Center -Smart from the Start,969,1293
Chicago Commons - Smart From The Start,933,1148
Wendell Smith Elementary School,852,1531
Washington D Smyser Elementary School,853,1532
John M Smyth Elementary School,854,1359
Hannah G Solomon Elementary School,855,1533
South-East Asia Center - International Bridge School,989,584
South Shore Fine Arts Academy,857,1534
Southeast Elementary School,1020,1535
Spencer Technology Academy,858,355
Catholic Charities - St. Joseph Child Development Center,408,150
Amos Alonzo Stagg Elementary School,860,646
Henry Booth House - Star Kids Math & Science,981,1229
Stepping Stones Early Childhood Center,422,877
Adlai E Stevenson Elementary School,861,1536
Frederick Stock Elementary School,862,1537
Harriet Beecher Stowe Elementary School,863,358
Easter Seals - Sweet Pea Academy,1018,1355
George B Swift Elementary Specialty School,866,1538
Mancel Talcott Elementary School,867,1539
Talman Elementary School,868,1540
Henry O Tanner Elementary School,869,359
Tarkington School of Excellence Elementary School,870,1541
Douglas Taylor Elementary School,871,1542
Chicago Commons Association - Taylor Center for New Experiences,245,117
Teddy Bear I,501,616
Teddy Bear II,424,617
Teddy Bear III,423,618
Teddy Bear V,425,619
SGA Youth and Family Services - Little Village (Telpochalli Community Arts Fine Arts School),536,1543
Temple Head Start,426,209
The Learning Tree Preschool - NIA,430,1269
Montessori School of Englewood,947,1189
Chicago Child Care Society - Hyde Park,934,1060
Chicago Child Care Society - Englewood,992,1328
Women's Treatment Center,433,1624
Velma F Thomas Early Childhood Center,873,850
James N Thorp Elementary School,874,962
Emmett Louis Till Math and Science Academy,875,390
George W Tilton Elementary School,876,1178
Chicago Youth Centers - Tiny Scholars Academy,945,1294
Enrico Tonti Elementary School,877,1544
Tuesday's Child,441,1621
Mark Twain Elementary School,878,1545
University of Chicago - Donoghue,443,1622
University of Chicago - North Kenwood Oakland,445,1623
Barbara Vick Early Childhood & Family Center,879,1546
Barbara Vick Village,880,1547
Gad's Hill Center - VOCEL,972,1283
Alessandro Volta Elementary School,881,1548
Carl von Linne Elementary School,746,381
Charles H Wacker Elementary School,882,1153
James Wadsworth Elementary School,883,1549
James Ward Elementary School,885,1550
Laura S Ward Elementary School,886,1182
Joseph Warren Elementary School,887,1551
George Washington Elementary School,888,1552
Harold Washington Elementary School,889,1553
Daniel Webster Elementary School,891,1308
Wee Care Nursery School & Kindergarten,447,1200
Ida B Wells Preparatory Elementary Academy,892,1306
West Austin Development Center,450,895
West Park Elementary Academy,894,1554
Oliver S Westcott Elementary School,896,1307
Edward White Elementary Career Academy,898,1556
Eli Whitney Elementary School,899,1179
John Greenleaf Whittier Elementary School,900,364
Wholly Innocence Daycare Center,453,856
Lutheran Social Services - Winthrop,455,391
Easter Seals - Wise Owl,946,1259
